model,case_id,loss_ML,loss_MH,loss_MLrbf,loss_MHpca4
GPT-OSS,D013,0.4225966737100405,0.28382392041705135,0.376607538328568,0.46582183146091677
GPT-OSS,D014,0.4403555081201406,0.27223347939499715,0.28311022915219064,0.3786538230718753
GPT-OSS,D015,0.5081433381399879,0.28561913027442143,0.3828430531948104,0.5363666012105239
GPT-OSS,D016,0.35556402436703793,0.2298884384372332,0.30505255121453406,0.3982654827414122
GPT-OSS,D018,0.9637672422942126,0.46661252471470666,0.906086236748982,0.8811411256493695
GPT-OSS,D019,0.4518868488468041,0.4224791161901932,0.3941071359894794,0.5194373078994937
GPT-OSS,D020,0.5792631084607018,0.38912273691245486,0.5632500531062036,0.596226712400784
GPT-OSS,D021,0.9185339987752524,1.0621480333271178,0.8532020180707939,1.1353419819622856
GPT-OSS,D022,0.9463265133397076,0.18167893462366333,0.9183746481078652,0.8773760976283796
GPT-OSS,D026,0.3369464952915699,0.2837266709610148,0.30623905760195147,0.3941350758265972
GPT-OSS,D027,0.546111385123335,0.39966373155262824,0.49641224519721217,0.5861707294820995
GPT-OSS,D028,0.476132751633941,0.4071502341396706,0.4114984015143384,0.5456972082668533
GPT-OSS,D029,0.811319741257939,0.7232289919886179,0.6831839807099614,0.751820404475671
GPT-OSS,D030,0.4229000684891477,0.3077102946356226,0.3309786325798562,0.42755411381557645
GPT-OSS,D031,0.3574735436581631,0.3183920656861274,0.3132512148837674,0.395937708671634
GPT-OSS,D032,0.3923255010039943,0.2304634440905901,0.35175306976294357,0.3907093796307916
GPT-OSS,D033,0.3418165370084007,0.34845793738844394,0.272295211169594,0.4532761983057454
GPT-OSS,D034,0.2970506251529693,0.2790524740672992,0.2751759357063747,0.48271418578571534
GPT-OSS,D035,0.6282457018122618,0.4610515419411289,0.6316807234548036,0.6038358783703297
GPT-OSS,D036,0.47135905363366704,0.3665325602822139,0.37838070617672215,0.48431710726720373
GPT-OSS,D037,0.412560143071328,0.250466866179547,0.45119236859110956,0.4994241863896739
GPT-OSS,D038,0.36995457721864944,0.12792556270162495,0.35349357128151604,0.42321182970694615
GPT-OSS,D039,0.2757293828197323,0.2824316985190858,0.2400792782309737,0.48921707099911893
GPT-OSS,D040,0.4857186725568602,0.4407689149900538,0.4863340202769167,0.6166876047963318
